epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.96984,0.53583,0.75,1,0.5366,3.334e-05,3.334e-05,3.334e-05
2,15.6131,0.5333,0.75,1,0.52717,8.25248e-05,8.25248e-05,8.25248e-05
3,22.9846,0.4905,0.75,1,0.52731,0.000130719,0.000130719,0.000130719
4,30.2802,0.46682,0.75,1,0.55608,0.000177924,0.000177924,0.000177924
5,36.9839,0.42909,0.75,1,0.58433,0.000224138,0.000224138,0.000224138
6,43.7803,0.49769,0.75,1,0.61977,0.000269362,0.000269362,0.000269362
7,50.3243,1.00276,0.75,1,0.62131,0.000313596,0.000313596,0.000313596
8,56.7752,0.31378,0.75,1,0.61032,0.00035684,0.00035684,0.00035684
9,63.4578,0.89287,0.75,1,0.61648,0.000399093,0.000399093,0.000399093
10,70.6644,0.28506,0.75,1,0.66771,0.000440356,0.000440356,0.000440356
11,77.6503,0.32981,0.75,1,0.67036,0.000480629,0.000480629,0.000480629
12,85.797,0.73822,0.75,1,0.67388,0.000519912,0.000519912,0.000519912
13,93.249,0.35512,0.75,1,0.717,0.000558205,0.000558205,0.000558205
14,100.259,0.30719,0.75,1,0.73633,0.000595507,0.000595507,0.000595507
15,106.772,0.33767,0.75,1,0.73633,0.00063182,0.00063182,0.00063182
16,113.287,0.34475,0.75,1,0.6861,0.000667142,0.000667142,0.000667142
17,119.823,0.89825,0.75,1,0.5599,0.000701474,0.000701474,0.000701474
18,126.373,0.27317,0.75,1,0.5599,0.000734815,0.000734815,0.000734815
19,133.153,0.29814,0.75,1,0.47452,0.000767167,0.000767167,0.000767167
20,139.733,0.28729,0.75,1,0.43092,0.000798528,0.000798528,0.000798528
21,146.193,0.86139,0.75,1,0.43092,0.000828899,0.000828899,0.000828899
22,152.632,0.92113,0.75,1,0.49073,0.00085828,0.00085828,0.00085828
23,159.22,0.26933,0.75,1,0.49073,0.000886671,0.000886671,0.000886671
24,165.641,0.74857,0.75,1,0.74533,0.000914071,0.000914071,0.000914071
25,172.06,1.21841,0.75,1,0.74533,0.000940481,0.000940481,0.000940481
26,178.5,0.2679,0.75,1,1.0206,0.000965901,0.000965901,0.000965901
27,184.895,0.30867,0.75,1,1.0206,0.000990331,0.000990331,0.000990331
28,191.258,0.62819,0.5,1,1.69818,0.00101377,0.00101377,0.00101377
29,197.591,0.36478,0.5,1,1.69818,0.00103622,0.00103622,0.00103622
30,204.034,0.39129,0.5,1,1.69818,0.00105768,0.00105768,0.00105768
31,210.553,0.6057,0.5,1,1.56614,0.00107815,0.00107815,0.00107815
32,217,0.52141,0.5,1,1.56614,0.00109763,0.00109763,0.00109763
33,223.516,0.62991,0.5,1,1.10391,0.00111612,0.00111612,0.00111612
34,230.049,0.39758,0.5,1,1.10391,0.00112239,0.00112239,0.00112239
35,236.509,0.32717,0.5,1,1.10391,0.00110589,0.00110589,0.00110589
36,242.98,0.78346,0.75,1,0.96079,0.00108938,0.00108938,0.00108938
37,249.444,0.30727,0.75,1,0.96079,0.00107288,0.00107288,0.00107288
38,255.74,0.15368,0.75,1,0.96079,0.00105638,0.00105638,0.00105638
39,262.261,0.71284,0.75,1,1.0327,0.00103987,0.00103987,0.00103987
40,268.574,0.17114,0.75,1,1.0327,0.00102337,0.00102337,0.00102337
41,275.063,0.17134,0.5,1,1.15526,0.00100687,0.00100687,0.00100687
42,281.419,1.10397,0.5,1,1.15526,0.000990365,0.000990365,0.000990365
43,288.099,0.63763,0.5,1,1.15526,0.000973861,0.000973861,0.000973861
44,295.09,0.12874,0.5,1,1.42193,0.000957358,0.000957358,0.000957358
45,301.365,0.1506,0.5,1,1.42193,0.000940855,0.000940855,0.000940855
46,307.642,0.11735,0.5,1,1.42193,0.000924352,0.000924352,0.000924352
47,313.619,0.33335,0.5,1,1.20255,0.000907848,0.000907848,0.000907848
48,319.871,0.72789,0.5,1,1.20255,0.000891345,0.000891345,0.000891345
49,327.133,0.16367,0.5,1,1.08751,0.000874842,0.000874842,0.000874842
50,334.162,0.18394,0.5,1,1.08751,0.000858338,0.000858338,0.000858338
51,340.683,1.00878,0.5,1,1.08751,0.000841835,0.000841835,0.000841835
52,347.279,0.29807,0.75,1,1.24879,0.000825332,0.000825332,0.000825332
53,353.693,0.13946,0.75,1,1.24879,0.000808828,0.000808828,0.000808828
54,360.383,0.24224,0.75,1,1.24879,0.000792325,0.000792325,0.000792325
55,366.969,0.52459,0.75,1,1.25395,0.000775822,0.000775822,0.000775822
56,373.498,0.23666,0.75,1,1.25395,0.000759318,0.000759318,0.000759318
57,380.333,0.30568,0.75,1,1.32216,0.000742815,0.000742815,0.000742815
58,387.384,0.13501,0.75,1,1.32216,0.000726312,0.000726312,0.000726312
59,394.996,0.26382,0.75,1,1.32216,0.000709809,0.000709809,0.000709809
60,402.704,0.1781,0.75,1,1.25737,0.000693305,0.000693305,0.000693305
61,411.068,0.31167,0.75,1,1.25737,0.000676802,0.000676802,0.000676802
62,419.995,0.16598,0.75,1,1.25737,0.000660299,0.000660299,0.000660299
63,429.475,0.39927,0.5,1,1.20831,0.000643795,0.000643795,0.000643795
64,437.474,0.16187,0.5,1,1.20831,0.000627292,0.000627292,0.000627292
65,445.137,0.29543,0.5,1,1.61104,0.000610789,0.000610789,0.000610789
66,452.414,0.6871,0.5,1,1.61104,0.000594286,0.000594286,0.000594286
67,459.507,0.24878,0.5,1,1.61104,0.000577782,0.000577782,0.000577782
68,466.415,0.16273,0.5,1,1.6948,0.000561279,0.000561279,0.000561279
69,473.165,0.1523,0.5,1,1.6948,0.000544776,0.000544776,0.000544776
70,481.516,0.25862,0.5,1,1.6948,0.000528272,0.000528272,0.000528272
71,489.111,0.69568,0.5,1,1.51831,0.000511769,0.000511769,0.000511769
72,496.599,0.1576,0.5,1,1.51831,0.000495266,0.000495266,0.000495266
73,502.964,0.85015,0.5,1,1.5402,0.000478762,0.000478762,0.000478762
74,509.463,0.12076,0.5,1,1.5402,0.000462259,0.000462259,0.000462259
75,516.13,0.17725,0.5,1,1.5402,0.000445756,0.000445756,0.000445756
76,522.94,0.3452,0.5,1,1.36049,0.000429253,0.000429253,0.000429253
77,529.816,0.1581,0.5,1,1.36049,0.000412749,0.000412749,0.000412749
78,536.822,0.14699,0.5,1,1.36049,0.000396246,0.000396246,0.000396246
79,544.106,0.92454,0.5,1,1.15597,0.000379743,0.000379743,0.000379743
80,551.481,0.15545,0.5,1,1.15597,0.000363239,0.000363239,0.000363239
81,559.034,0.05035,0.5,1,0.98369,0.000346736,0.000346736,0.000346736
82,566.877,0.13221,0.5,1,0.98369,0.000330233,0.000330233,0.000330233
83,574.773,0.55913,0.5,1,0.98369,0.000313729,0.000313729,0.000313729
84,582.221,0.10743,0.5,1,1.08237,0.000297226,0.000297226,0.000297226
85,589.381,0.13466,0.5,1,1.08237,0.000280723,0.000280723,0.000280723
86,596.361,0.10047,0.5,1,1.08237,0.00026422,0.00026422,0.00026422
87,603.367,0.46188,0.5,1,1.0643,0.000247716,0.000247716,0.000247716
88,610.048,0.1481,0.5,1,1.0643,0.000231213,0.000231213,0.000231213
89,616.699,0.10049,0.5,1,1.37917,0.00021471,0.00021471,0.00021471
90,623.1,0.10638,0.5,1,1.37917,0.000198206,0.000198206,0.000198206
91,629.721,0.18501,0.5,1,1.37917,0.000181703,0.000181703,0.000181703
92,636.048,0.34442,0.5,1,1.61314,0.0001652,0.0001652,0.0001652
93,642.235,0.1954,0.5,1,1.61314,0.000148696,0.000148696,0.000148696
94,648.376,0.15246,0.5,1,1.61314,0.000132193,0.000132193,0.000132193
95,654.697,0.45986,0.5,1,2.10496,0.00011569,0.00011569,0.00011569
96,660.871,0.16704,0.5,1,2.10496,9.91865e-05,9.91865e-05,9.91865e-05
97,667.029,0.18384,0.5,1,2.45185,8.26832e-05,8.26832e-05,8.26832e-05
98,673.2,0.08291,0.5,1,2.45185,6.61799e-05,6.61799e-05,6.61799e-05
